,accepted_species,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,Genus
650,Coptosperma nigrescens,747557-1,Coptosperma nigrescens,Coptosperma nigrescens Hook.f.,Rubiaceae,Species,Coptosperma,Coptosperma Hook.f.,47011,34402-1,Genus,47014,747557-1,Species,Accepted,Rubiaceae,,Coptosperma,,nigrescens,,,,Hook.f.,G.Bentham & J.D.Hooker,Gen. Pl., 2: 87,(1873),,"S. Somalia to Eswatini, Comoros, Madagascar",scrambling shrub or tree,seasonally dry tropical,Coptosperma nigrescens,Hook.f.,47014,,,,47011,747557-1,,Y,Coptosperma nigrescens Hook.f.,747557-1,47014,Coptosperma
651,Rauvolfia grandiflora,81545-1,Rauvolfia grandiflora,Rauvolfia grandiflora Mart. ex A.DC.,Apocynaceae,Species,Rauvolfia,Rauvolfia Plum. ex L.,176797,328992-2,Genus,176848,81545-1,Species,Accepted,Apocynaceae,,Rauvolfia,,grandiflora,,,,Mart. ex A.DC.,A.P.de Candolle,Prodr., 8: 341,(1844),,E. Brazil,shrub or tree,seasonally dry tropical,Rauvolfia grandiflora,Mart. ex A.DC.,176848,,,,176797,81545-1,,Y,Rauvolfia grandiflora Mart. ex A.DC.,81545-1,176848,Rauvolfia
652,Rauvolfia obscura,81602-1,Rauvolfia obscura,Rauvolfia obscura K.Schum.,Apocynaceae,Species,Rauvolfia,Rauvolfia Plum. ex L.,176797,328992-2,Genus,176913,81602-1,Species,Accepted,Apocynaceae,,Rauvolfia,,obscura,,,,K.Schum.,H.G.A.Engler & K.A.E.Prantl,Nat. Pflanzenfam., 4(2): 154,(1895),,WC. Trop. Africa to Angola,shrub,wet tropical,Rauvolfia obscura,K.Schum.,176913,,,,176797,81602-1,,Y,Rauvolfia obscura K.Schum.,81602-1,176913,Rauvolfia
653,Rauvolfia spathulata,81500-1,Rauvolfia spathulata,Rauvolfia spathulata Boiteau,Apocynaceae,Species,Rauvolfia,Rauvolfia Plum. ex L.,176797,328992-2,Genus,176971,81500-1,Species,Accepted,Apocynaceae,,Rauvolfia,,spathulata,,,,Boiteau,,Adansonia,", n.s., 16: 58",(1976),,SE. New Caledonia (Mts. des Sources),shrub,wet tropical,Rauvolfia spathulata,Boiteau,176971,,,,176797,81500-1,,Y,Rauvolfia spathulata Boiteau,81500-1,176971,Rauvolfia
654,Rauvolfia salicifolia,325111-2,Rauvolfia salicifolia,Rauvolfia salicifolia Griseb.,Apocynaceae,Species,Rauvolfia,Rauvolfia Plum. ex L.,176797,328992-2,Genus,176950,325111-2,Species,Accepted,Apocynaceae,,Rauvolfia,,salicifolia,,,,Griseb.,,Pl. Wright., 2: 519,(1862),,Cuba,shrub or tree,wet tropical,Rauvolfia salicifolia,Griseb.,176950,,,,176797,325111-2,,Y,Rauvolfia salicifolia Griseb.,325111-2,176950,Rauvolfia
655,Rauvolfia sprucei,81652-1,Rauvolfia sprucei,Rauvolfia sprucei Müll.Arg.,Apocynaceae,Species,Rauvolfia,Rauvolfia Plum. ex L.,176797,328992-2,Genus,176974,81652-1,Species,Accepted,Apocynaceae,,Rauvolfia,,sprucei,,,,Müll.Arg.,C.F.P.von Martius & auct. suc. (eds.),Fl. Bras., 6(1): 34,(1860),,S. Venezuela to Peru and W. Bolivia,tree,wet tropical,Rauvolfia sprucei,Müll.Arg.,176974,,,,176797,81652-1,,Y,Rauvolfia sprucei Müll.Arg.,81652-1,176974,Rauvolfia
656,Hancornia speciosa,328991-2,Hancornia speciosa,Hancornia speciosa Gomes,Apocynaceae,Species,Hancornia,Hancornia Gomes,96102,328990-2,Genus,96116,328991-2,Species,Accepted,Apocynaceae,,Hancornia,,speciosa,,,,Gomes,,Mem. Math. Phis. Acad. Real Sci. Lisboa, 3(Mem. Corr.): 53,(1812),,Brazil to Peru and Paraguay,shrub or tree,seasonally dry tropical,Hancornia speciosa,Gomes,96116,,,,96102,328991-2,,Y,Hancornia speciosa Gomes,328991-2,96116,Hancornia
657,Apocynum pictum,77225-1,Apocynum pictum,Apocynum pictum Schrenk,Apocynaceae,Species,Apocynum,Apocynum L.,12795,2211-1,Genus,12925,77225-1,Species,Accepted,Apocynaceae,,Apocynum,,pictum,,,,Schrenk,,Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg, 2: 115,(1844),,C. Asia to Mongolia and N. China,perennial,temperate,Apocynum pictum,Schrenk,12925,,,,12795,77225-1,,Y,Apocynum pictum Schrenk,77225-1,12925,Apocynum
658,Frasera caroliniensis,367672-1,Frasera caroliniensis,Frasera caroliniensis Walter,Gentianaceae,Species,Frasera,Frasera Walter,2814323,30008922-2,Genus,2814338,367672-1,Species,Accepted,Gentianaceae,,Frasera,,caroliniensis,,,,Walter,,Fl. Carol.,: 88,(1788),,SE. Canada to NC. & E. U.S.A.,perennial,temperate,Frasera caroliniensis,Walter,2814338,,,,2814323,367672-1,,N,Frasera caroliniensis Walter,367672-1,2814338,Frasera
659,Beaumontia brevituba,77532-1,Beaumontia brevituba,Beaumontia brevituba Oliv.,Apocynaceae,Species,Beaumontia,Beaumontia Wall.,20245,2221-1,Genus,20247,77532-1,Species,Accepted,Apocynaceae,,Beaumontia,,brevituba,,,,Oliv.,,Hooker's Icon. Pl., 16: t. 1582,(1887),,China (Guangxi) to Hainan,climbing shrub,wet tropical,Beaumontia brevituba,Oliv.,20247,,,,20245,77532-1,,Y,Beaumontia brevituba Oliv.,77532-1,20247,Beaumontia
660,Apocynum androsaemifolium,16503-2,Apocynum androsaemifolium,Apocynum androsaemifolium L.,Apocynaceae,Species,Apocynum,Apocynum L.,12795,2211-1,Genus,12804,16503-2,Species,Accepted,Apocynaceae,,Apocynum,,androsaemifolium,,,,L.,,Sp. Pl.,: 213,(1753),,N. America,perennial,temperate,Apocynum androsaemifolium,L.,12804,,,,12795,16503-2,,Y,Apocynum androsaemifolium L.,16503-2,12804,Apocynum
661,Apocynum cannabinum,16527-2,Apocynum cannabinum,Apocynum cannabinum L.,Apocynaceae,Species,Apocynum,Apocynum L.,12795,2211-1,Genus,12828,16527-2,Species,Accepted,Apocynaceae,,Apocynum,,cannabinum,,,,L.,,Sp. Pl.,: 213,(1753),,Canada to U.S.A. and NW. Mexico,perennial,temperate,Apocynum cannabinum,L.,12828,,,,12795,16527-2,,Y,Apocynum cannabinum L.,16527-2,12828,Apocynum
662,Frasera albicaulis,367667-1,Frasera albicaulis,Frasera albicaulis Griseb.,Gentianaceae,Species,Frasera,Frasera Walter,2814323,30008922-2,Genus,2814324,367667-1,Species,Accepted,Gentianaceae,,Frasera,,albicaulis,,,,Griseb.,,Gen. Sp. Gent.,: 330,(1838),,W. Canada to W. U.S.A.,perennial,temperate,Frasera albicaulis,Griseb.,2814324,,,,2814323,367667-1,,N,Frasera albicaulis Griseb.,367667-1,2814324,Frasera
663,Frasera speciosa,367689-1,Frasera speciosa,Frasera speciosa Douglas ex Griseb.,Gentianaceae,Species,Frasera,Frasera Walter,2814323,30008922-2,Genus,2814360,367689-1,Species,Accepted,Gentianaceae,,Frasera,,speciosa,,,,Douglas ex Griseb.,W.J.Hooker,Fl. Bor.-Amer., 2: 66,(1837),,W. & C. U.S.A. to N. Mexico,biennial,temperate,Frasera speciosa,Douglas ex Griseb.,2814360,,,,2814323,367689-1,,N,Frasera speciosa Douglas ex Griseb.,367689-1,2814360,Frasera
664,Apocynum venetum,77279-1,Apocynum venetum,Apocynum venetum L.,Apocynaceae,Species,Apocynum,Apocynum L.,12795,2211-1,Genus,12978,77279-1,Species,Accepted,Apocynaceae,,Apocynum,,venetum,,,,L.,,Sp. Pl.,: 213,(1753),,SC. Europe to Temp. Asia,perennial,temperate,Apocynum venetum,L.,12978,,,,12795,77279-1,,Y,Apocynum venetum L.,77279-1,12978,Apocynum
665,Oncinotis tenuiloba,80641-1,Oncinotis tenuiloba,Oncinotis tenuiloba Stapf,Apocynaceae,Species,Oncinotis,Oncinotis Benth.,140110,2469-1,Genus,140133,80641-1,Species,Accepted,Apocynaceae,,Oncinotis,,tenuiloba,,,,Stapf,,Bull. Misc. Inform. Kew, 1898: 307,(1898),,Trop. & S. Africa,scrambling shrub or tree,seasonally dry tropical,Oncinotis tenuiloba,Stapf,140133,,,,140110,80641-1,,Y,Oncinotis tenuiloba Stapf,80641-1,140133,Oncinotis
666,Beaumontia murtonii,77548-1,Beaumontia murtonii,Beaumontia murtonii Craib,Apocynaceae,Species,Beaumontia,Beaumontia Wall.,20245,2221-1,Genus,20261,77548-1,Species,Accepted,Apocynaceae,,Beaumontia,,murtonii,,,,Craib,,Bull. Misc. Inform. Kew, 1914: 282,(1914),,China (S. Yunnan) to Pen. Malaysia,climber,wet tropical,Beaumontia murtonii,Craib,20261,,,,20245,77548-1,,Y,Beaumontia murtonii Craib,77548-1,20261,Beaumontia
667,Frasera albomarginata,367668-1,Frasera albomarginata,Frasera albomarginata S.Watson,Gentianaceae,Species,Frasera,Frasera Walter,2814323,30008922-2,Genus,2814331,367668-1,Species,Accepted,Gentianaceae,,Frasera,,albomarginata,,,,S.Watson,,Botany [Fortieth Parallel],: 280,(1871),,S. California to SW. Colorado and New Mexico,biennial or perennial,temperate,Frasera albomarginata,S.Watson,2814331,,,,2814323,367668-1,,N,Frasera albomarginata S.Watson,367668-1,2814331,Frasera
668,Emmenopterys henryi,748742-1,Emmenopterys henryi,Emmenopterys henryi Oliv.,Rubiaceae,Species,Emmenopterys,Emmenopterys Oliv.,66890,34549-1,Genus,66891,748742-1,Species,Accepted,Rubiaceae,,Emmenopterys,,henryi,,,,Oliv.,,Hooker's Icon. Pl., 19: t. 1823,(1889),,C. & S. China to Vietnam,tree,temperate,Emmenopterys henryi,Oliv.,66891,,,,66890,748742-1,,Y,Emmenopterys henryi Oliv.,748742-1,66891,Emmenopterys
669,Melodinus philliraeoides,80246-1,Melodinus philliraeoides,Melodinus philliraeoides Labill.,Apocynaceae,Species,Melodinus,Melodinus J.R.Forst. & G.Forst.,124161,2428-1,Genus,124255,80246-1,Species,Accepted,Apocynaceae,,Melodinus,,philliraeoides,,,,Labill.,,Sert. Austro-Caledon.,: 29,(1824),,New Caledonia,liana or shrub,wet tropical,Melodinus philliraeoides,Labill.,124255,,,,124161,80246-1,,Y,Melodinus philliraeoides Labill.,80246-1,124255,Melodinus
670,Melodinus tenuicaudatus,80259-1,Melodinus tenuicaudatus,Melodinus tenuicaudatus Tsiang & P.T.Li,Apocynaceae,Species,Melodinus,Melodinus J.R.Forst. & G.Forst.,124161,2428-1,Genus,124268,80259-1,Species,Accepted,Apocynaceae,,Melodinus,,tenuicaudatus,,,,Tsiang & P.T.Li,,Acta Phytotax. Sin., 11: 353,(1973),,"China (Yunnan, Guizhou, Guangxi) to N. Vietnam",climbing shrub,subtropical,Melodinus tenuicaudatus,Tsiang & P.T.Li,124268,,,,124161,80259-1,,Y,Melodinus tenuicaudatus Tsiang & P.T.Li,80259-1,124268,Melodinus
671,Isertia haenkeana,753632-1,Isertia haenkeana,Isertia haenkeana DC.,Rubiaceae,Species,Isertia,Isertia Schreb.,102777,34762-1,Genus,102793,753632-1,Species,Accepted,Rubiaceae,,Isertia,,haenkeana,,,,DC.,,Prodr., 4: 437,(1830),,Trop. America,tree,wet tropical,Isertia haenkeana,DC.,102793,,,,102777,753632-1,,Y,Isertia haenkeana DC.,753632-1,102793,Isertia
672,Isertia hypoleuca,753635-1,Isertia hypoleuca,Isertia hypoleuca Benth.,Rubiaceae,Species,Isertia,Isertia Schreb.,102777,34762-1,Genus,102798,753635-1,Species,Accepted,Rubiaceae,,Isertia,,hypoleuca,,,,Benth.,,J. Bot. (Hooker), 3: 220,(1841),,S. Trop. America,tree,wet tropical,Isertia hypoleuca,Benth.,102798,,,,102777,753635-1,,Y,Isertia hypoleuca Benth.,753635-1,102798,Isertia
673,Melodinus aeneus,80160-1,Melodinus aeneus,Melodinus aeneus Baill.,Apocynaceae,Species,Melodinus,Melodinus J.R.Forst. & G.Forst.,124161,2428-1,Genus,124164,80160-1,Species,Accepted,Apocynaceae,,Melodinus,,aeneus,,,,Baill.,,Bull. Mens. Soc. Linn. Paris, 1: 786,(1889),,New Caledonia,climber,wet tropical,Melodinus aeneus,Baill.,124164,,,,124161,80160-1,,Y,Melodinus aeneus Baill.,80160-1,124164,Melodinus
674,Mandevilla pentlandiana,152033-2,Mandevilla pentlandiana,Mandevilla pentlandiana (DC.) Woodson,Apocynaceae,Species,Mandevilla,Mandevilla Lindl.,119205,328998-2,Genus,119329,152033-2,Species,Accepted,Apocynaceae,,Mandevilla,,pentlandiana,,,DC.,Woodson,,Ann. Missouri Bot. Gard., 19: 63,(1932),,Peru to SE. & S. Brazil and N. Argentina,climber,seasonally dry tropical,Mandevilla pentlandiana,(DC.) Woodson,119329,108403,,,119205,152033-2,,Y,Mandevilla pentlandiana (DC.) Woodson,152033-2,119329,Mandevilla
675,Melodinus scandens,80253-1,Melodinus scandens,Melodinus scandens J.R.Forst. & G.Forst.,Apocynaceae,Species,Melodinus,Melodinus J.R.Forst. & G.Forst.,124161,2428-1,Genus,124262,80253-1,Species,Accepted,Apocynaceae,,Melodinus,,scandens,,,,J.R.Forst. & G.Forst.,,Char. Gen. Pl.,: 38,(1776),,New Caledonia,climber,wet tropical,Melodinus scandens,J.R.Forst. & G.Forst.,124262,,,,124161,80253-1,,Y,Melodinus scandens J.R.Forst. & G.Forst.,80253-1,124262,Melodinus
676,Strumpfia maritima,767228-1,Strumpfia maritima,Strumpfia maritima Jacq.,Rubiaceae,Species,Strumpfia,Strumpfia Jacq.,198313,35412-1,Genus,198314,767228-1,Species,Accepted,Rubiaceae,,Strumpfia,,maritima,,,,Jacq.,,Enum. Syst. Pl.,: 28,(1760),,"S. Florida, SE. Mexico, Caribbean to N. Venezuela",subshrub or shrub,seasonally dry tropical,Strumpfia maritima,Jacq.,198314,,,,198313,767228-1,,Y,Strumpfia maritima Jacq.,767228-1,198314,Strumpfia
677,Melodinus orientalis,80239-1,Melodinus orientalis,Melodinus orientalis Blume,Apocynaceae,Species,Melodinus,Melodinus J.R.Forst. & G.Forst.,124161,2428-1,Genus,124249,80239-1,Species,Accepted,Apocynaceae,,Melodinus,,orientalis,,,,Blume,,Bijdr. Fl. Ned. Ind.,: 1026,(1826),,Pen. Thailand to W. & C. Malesia,climbing shrub or liana,wet tropical,Melodinus orientalis,Blume,124249,,,,124161,80239-1,,Y,Melodinus orientalis Blume,80239-1,124249,Melodinus
678,Craspidospermum verticillatum,78180-1,Craspidospermum verticillatum,Craspidospermum verticillatum Bojer ex Decne.,Apocynaceae,Species,Craspidospermum,Craspidospermum Bojer ex A.DC.,48714,2280-1,Genus,48715,78180-1,Species,Accepted,Apocynaceae,,Craspidospermum,,verticillatum,,,,Bojer ex Decne.,A.P.de Candolle,Prodr., 8: 323,(1844),,C. & E. Madagascar,tree,seasonally dry tropical,Craspidospermum verticillatum,Bojer ex Decne.,48715,,,,48714,78180-1,,Y,Craspidospermum verticillatum Bojer ex Decne.,78180-1,48715,Craspidospermum
679,Melodinus balansae,80169-1,Melodinus balansae,Melodinus balansae Baill.,Apocynaceae,Species,Melodinus,Melodinus J.R.Forst. & G.Forst.,124161,2428-1,Genus,124172,80169-1,Species,Accepted,Apocynaceae,,Melodinus,,balansae,,,,Baill.,,Bull. Mens. Soc. Linn. Paris, 1: 785,(1889),,New Caledonia,climber,wet tropical,Melodinus balansae,Baill.,124172,,,,124161,80169-1,,Y,Melodinus balansae Baill.,80169-1,124172,Melodinus
680,Melodinus axillaris,80166-1,Melodinus axillaris,Melodinus axillaris W.T.Wang,Apocynaceae,Species,Melodinus,Melodinus J.R.Forst. & G.Forst.,124161,2428-1,Genus,124170,80166-1,Species,Accepted,Apocynaceae,,Melodinus,,axillaris,,,,W.T.Wang,,Acta Phytotax. Sin., 11: 349,(1973),,China (S. Yunnan),climber,wet tropical,Melodinus axillaris,W.T.Wang,124170,,,,124161,80166-1,,Y,Melodinus axillaris W.T.Wang,80166-1,124170,Melodinus
681,Melodinus fusiformis,80201-1,Melodinus fusiformis,Melodinus fusiformis Champ. ex Benth.,Apocynaceae,Species,Melodinus,Melodinus J.R.Forst. & G.Forst.,124161,2428-1,Genus,124209,80201-1,Species,Accepted,Apocynaceae,,Melodinus,,fusiformis,,,,Champ. ex Benth.,,Hooker's J. Bot. Kew Gard. Misc., 4: 332,(1852),,"China (Guangdong, Guangxi, Guizhou) to Indo-China, Philippines (Luzon)",climber,wet tropical,Melodinus fusiformis,Champ. ex Benth.,124209,,,,124161,80201-1,,Y,Melodinus fusiformis Champ. ex Benth.,80201-1,124209,Melodinus
682,Melodinus acutiflorus,80158-1,Melodinus acutiflorus,Melodinus acutiflorus F.Muell.,Apocynaceae,Species,Melodinus,Melodinus J.R.Forst. & G.Forst.,124161,2428-1,Genus,124162,80158-1,Species,Accepted,Apocynaceae,,Melodinus,,acutiflorus,,,,F.Muell.,,Trans. & Proc. Philos. Inst. Victoria, 2: 71,(1858),,"E. New Guinea, NE. & E. Queensland to NE. New South Wales",climber,wet tropical,Melodinus acutiflorus,F.Muell.,124162,,,,124161,80158-1,,Y,Melodinus acutiflorus F.Muell.,80158-1,124162,Melodinus
683,Melodinus reticulatus,80249-1,Melodinus reticulatus,Melodinus reticulatus Boiteau,Apocynaceae,Species,Melodinus,Melodinus J.R.Forst. & G.Forst.,124161,2428-1,Genus,124259,80249-1,Species,Accepted,Apocynaceae,,Melodinus,,reticulatus,,,,Boiteau,,Adansonia,", n.s., 15: 406",(1975 publ. 1976),,NW. & SE. New Caledonia,climber,wet tropical,Melodinus reticulatus,Boiteau,124259,,,,124161,80249-1,,Y,Melodinus reticulatus Boiteau,80249-1,124259,Melodinus
684,Cerbera floribunda,77893-1,Cerbera floribunda,Cerbera floribunda K.Schum.,Apocynaceae,Species,Cerbera,Cerbera L.,37142,60436653-2,Genus,37154,77893-1,Species,Accepted,Apocynaceae,,Cerbera,,floribunda,,,,K.Schum.,K.M.Schumann & U.M.Hollrung,Fl. Kais. Wilh. Land,: 111,(1889),,SE. Sulawesi to Caroline Is. (Palau),tree,wet tropical,Cerbera floribunda,K.Schum.,37154,,,,37142,77893-1,,Y,Cerbera floribunda K.Schum.,77893-1,37154,Cerbera
685,Gardenia fosbergii,902086-1,Gardenia fosbergii,Gardenia fosbergii Tirveng.,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,88218,902086-1,Species,Accepted,Rubiaceae,,Gardenia,,fosbergii,,,,Tirveng.,,Nordic J. Bot., 3: 460,(1983),,Sri Lanka,shrub,wet tropical,Gardenia fosbergii,Tirveng.,88218,,,,88088,902086-1,,Y,Gardenia fosbergii Tirveng.,902086-1,88218,Gardenia
686,Gardenia latifolia,751091-1,Gardenia latifolia,Gardenia latifolia Aiton,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,88291,751091-1,Species,Accepted,Rubiaceae,,Gardenia,,latifolia,,,,Aiton,,Hort. Kew., 1: 294,(1789),,India to Bangladesh,,wet tropical,Gardenia latifolia,Aiton,88291,,,,88088,751091-1,,Y,Gardenia latifolia Aiton,751091-1,88291,Gardenia
687,Gardenia erubescens,751008-1,Gardenia erubescens,Gardenia erubescens Stapf & Hutch.,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,88196,751008-1,Species,Accepted,Rubiaceae,,Gardenia,,erubescens,,,,Stapf & Hutch.,,"J. Linn. Soc., Bot.", 38: 428,(1909),,W. Trop. Africa to Uganda,shrub or tree,seasonally dry tropical,Gardenia erubescens,Stapf & Hutch.,88196,,,,88088,751008-1,,Y,Gardenia erubescens Stapf & Hutch.,751008-1,88196,Gardenia
688,Gardenia collinsiae,750963-1,Gardenia collinsiae,Gardenia collinsiae Craib,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,88156,750963-1,Species,Accepted,Rubiaceae,,Gardenia,,collinsiae,,,,Craib,,Bull. Misc. Inform. Kew, 1914: 127,(1914),,Indo-China,,wet tropical,Gardenia collinsiae,Craib,88156,,,,88088,750963-1,,Y,Gardenia collinsiae Craib,750963-1,88156,Gardenia
689,Himatanthus phagedaenicus,122695-2,Himatanthus phagedaenicus,Himatanthus phagedaenicus (Mart.) Woodson,Apocynaceae,Species,Himatanthus,Himatanthus Willd. ex Schult.,99293,30058664-2,Genus,99308,122695-2,Species,Accepted,Apocynaceae,,Himatanthus,,phagedaenicus,,,Mart.,Woodson,,Ann. Missouri Bot. Gard., 25: 199,(1938 publ. 1937),,S. Trop. America,shrub or tree,seasonally dry tropical,Himatanthus phagedaenicus,(Mart.) Woodson,99308,161622,,,99293,122695-2,,Y,Himatanthus phagedaenicus (Mart.) Woodson,122695-2,99308,Himatanthus
690,Gardenia aubryi,750915-1,Gardenia aubryi,Gardenia aubryi Vieill.,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,88115,750915-1,Species,Accepted,Rubiaceae,,Gardenia,,aubryi,,,,Vieill.,,"Ann. Sci. Nat., Bot.",", sér. 4, 16: 65",(1862),,New Caledonia,tree,wet tropical,Gardenia aubryi,Vieill.,88115,,,,88088,750915-1,,Y,Gardenia aubryi Vieill.,750915-1,88115,Gardenia
691,Gardenia hillii,751055-1,Gardenia hillii,Gardenia hillii Horne ex Baker,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,88252,751055-1,Species,Accepted,Rubiaceae,,Gardenia,,hillii,,,,Horne ex Baker,,"J. Linn. Soc., Bot.", 20: 362,(1883),,"Fiji (Vanua Levu, Rambi)",shrub or tree,wet tropical,Gardenia hillii,Horne ex Baker,88252,,,,88088,751055-1,,Y,Gardenia hillii Horne ex Baker,751055-1,88252,Gardenia
692,Gardenia grievei,751045-1,Gardenia grievei,Gardenia grievei Horne ex Baker,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,88241,751045-1,Species,Accepted,Rubiaceae,,Gardenia,,grievei,,,,Horne ex Baker,,"J. Linn. Soc., Bot.", 20: 361,(1883),,Fiji (N. & W. Vanua Levu),shrub or tree,wet tropical,Gardenia grievei,Horne ex Baker,88241,,,,88088,751045-1,,Y,Gardenia grievei Horne ex Baker,751045-1,88241,Gardenia
693,Gardenia imperialis,751061-1,Gardenia imperialis,Gardenia imperialis K.Schum.,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,88258,751061-1,Species,Accepted,Rubiaceae,,Gardenia,,imperialis,,,,K.Schum.,,Bot. Jahrb. Syst., 23: 442,(1896),,Trop. Africa,tree,wet tropical,Gardenia imperialis,K.Schum.,88258,,,,88088,751061-1,,Y,Gardenia imperialis K.Schum.,751061-1,88258,Gardenia
694,Gardenia thailandica,902087-1,Gardenia thailandica,Gardenia thailandica Tirveng.,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,88496,902087-1,Species,Accepted,Rubiaceae,,Gardenia,,thailandica,,,,Tirveng.,,Nordic J. Bot., 3: 462,(1983),,Pen. Thailand,tree,wet tropical,Gardenia thailandica,Tirveng.,88496,,,,88088,902087-1,,Y,Gardenia thailandica Tirveng.,902087-1,88496,Gardenia
695,Cynanchum gracillimum,96231-1,Cynanchum gracillimum,Cynanchum gracillimum Wall. ex Wight,Apocynaceae,Species,Cynanchum,Cynanchum L.,503314,30401855-2,Genus,503682,96231-1,Species,Accepted,Apocynaceae,,Cynanchum,,gracillimum,,,,Wall. ex Wight,,Contr. Bot. India,: 57,(1834),,"China (Yunnan, Guizhou, Guangxi) to Myanmar",climber,subtropical,Cynanchum gracillimum,Wall. ex Wight,503682,,,,503314,96231-1,,Y,Cynanchum gracillimum Wall. ex Wight,96231-1,503682,Cynanchum
696,Gardenia storckii,751271-1,Gardenia storckii,Gardenia storckii Oliv.,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,88472,751271-1,Species,Accepted,Rubiaceae,,Gardenia,,storckii,,,,Oliv.,,Hooker's Icon. Pl., 15: 38,(1883),,Fiji (SE. Viti Levu),shrub or tree,wet tropical,Gardenia storckii,Oliv.,88472,,,,88088,751271-1,,Y,Gardenia storckii Oliv.,751271-1,88472,Gardenia
697,Gardenia carinata,750947-1,Gardenia carinata,Gardenia carinata Wall. ex Roxb.,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,88143,750947-1,Species,Accepted,Rubiaceae,,Gardenia,,carinata,,,,Wall. ex Roxb.,,Fl. Ind., 2: 560,(1824),,Thailand to Pen. Malaysia,shrub or tree,wet tropical,Gardenia carinata,Wall. ex Roxb.,88143,,,,88088,750947-1,,Y,Gardenia carinata Wall. ex Roxb.,750947-1,88143,Gardenia
698,Cerbera odollam,77913-1,Cerbera odollam,Cerbera odollam Gaertn.,Apocynaceae,Species,Cerbera,Cerbera L.,37142,60436653-2,Genus,37178,77913-1,Species,Accepted,Apocynaceae,,Cerbera,,odollam,,,,Gaertn.,,Fruct. Sem. Pl., 2: 193,(1791),,S. India to Pacific,shrub or tree,wet tropical,Cerbera odollam,Gaertn.,37178,,,,37142,77913-1,,Y,Cerbera odollam Gaertn.,77913-1,37178,Cerbera
699,Rondeletia panamensis,764975-1,Rondeletia panamensis,Rondeletia panamensis DC.,Rubiaceae,Species,Rondeletia,Rondeletia L.,179397,329798-2,Genus,179678,764975-1,Species,Accepted,Rubiaceae,,Rondeletia,,panamensis,,,,DC.,,Prodr., 4: 408,(1830),,Panama,shrub or tree,wet tropical,Rondeletia panamensis,DC.,179678,,,,179397,764975-1,,Y,Rondeletia panamensis DC.,764975-1,179678,Rondeletia
700,Gardenia crameri,902085-1,Gardenia crameri,Gardenia crameri Tirveng.,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,88168,902085-1,Species,Accepted,Rubiaceae,,Gardenia,,crameri,,,,Tirveng.,,Nordic J. Bot., 3: 458,(1983),,SW. Sri Lanka,shrub or tree,wet tropical,Gardenia crameri,Tirveng.,88168,,,,88088,902085-1,,Y,Gardenia crameri Tirveng.,902085-1,88168,Gardenia
701,Cynanchum liukiuense,96345-1,Cynanchum liukiuense,Cynanchum liukiuense Warb.,Apocynaceae,Species,Cynanchum,Cynanchum L.,503314,30401855-2,Genus,503833,96345-1,Species,Accepted,Apocynaceae,,Cynanchum,,liukiuense,,,,Warb.,,Repert. Spec. Nov. Regni Veg., 3: 305,(1907),,S. Nansei-shoto,climbing subshrub,subtropical,Cynanchum liukiuense,Warb.,503833,,,,503314,96345-1,,Y,Cynanchum liukiuense Warb.,96345-1,503833,Cynanchum
702,Gardenia oudiepe,77176829-1,Gardenia oudiepe,Gardenia oudiepe Vieill.,Rubiaceae,Species,Gardenia,Gardenia J.Ellis,88088,331627-2,Genus,376495,77176829-1,Species,Accepted,Rubiaceae,,Gardenia,,oudiepe,,,,Vieill.,,"Ann. Sci. Nat., Bot.",", sér. 4, 16: 65",(1862),,New Caledonia,tree,wet tropical,Gardenia oudiepe,Vieill.,376495,,,,88088,77176829-1,,Y,Gardenia oudiepe Vieill.,77176829-1,376495,Gardenia
