,accepted_species,accepted_species_w_author,native_tdwg3_codes,intro_tdwg3_codes
8478,Hillia rivalis,Hillia rivalis C.M.Taylor,"('VEN',)",
8479,Hillia saldanhaei,Hillia saldanhaei K.Schum.,"('BZL',)",
8480,Hillia tetrandra,Hillia tetrandra Sw.,"('BLZ', 'CUB', 'DOM', 'ELS', 'GUA', 'HAI', 'HON', 'JAM', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC')",
8481,Hillia triflora,Hillia triflora (Oerst.) C.M.Taylor,"('CLM', 'COS', 'MXT', 'NIC', 'PAN')",
8482,Hillia ulei,Hillia ulei K.Krause,"('BOL', 'BZE', 'BZL', 'BZN', 'CLM', 'ECU', 'GUY', 'PAN', 'PER', 'SUR')",
8483,Hillia wurdackii,Hillia wurdackii Steyerm.,"('BOL', 'PER')",
8484,Himalrandia lichiangensis,Himalrandia lichiangensis (W.W.Sm.) Tirveng.,"('CHC',)",
8485,Himalrandia tetrasperma,Himalrandia tetrasperma (Wall. ex Roxb.) T.Yamaz.,"('AFG', 'ASS', 'BAN', 'EHM', 'IND', 'NEP', 'PAK', 'WHM')",
8486,Himatanthus articulatus,Himatanthus articulatus (Vahl) Woodson,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PAN', 'PER', 'SUR', 'VEN')",
8487,Himatanthus attenuatus,Himatanthus attenuatus (Benth.) Woodson,"('BZL', 'BZN', 'CLM', 'VEN')",
8488,Himatanthus bracteatus,Himatanthus bracteatus (A.DC.) Woodson,"('BZC', 'BZE', 'BZL', 'BZN', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')",
8489,Himatanthus drasticus,Himatanthus drasticus (Mart.) Plumel,"('BZE', 'BZL', 'BZN', 'FRG', 'GUY', 'SUR')",
8490,Himatanthus obovatus,Himatanthus obovatus (Müll.Arg.) Woodson,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'GUY')",
8491,Himatanthus phagedaenicus,Himatanthus phagedaenicus (Mart.) Woodson,"('BZN', 'CLM', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')",
8492,Himatanthus revolutus,Himatanthus revolutus (Huber) Spina & Kin.-Gouv.,"('BZN', 'CLM', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')",
8493,Himatanthus semilunatus,Himatanthus semilunatus Markgr.,"('BZN', 'CLM', 'VEN')",
8494,Himatanthus tarapotensis,Himatanthus tarapotensis (K.Schum. ex Markgr.) Plumel,"('BOL', 'BZC', 'BZN', 'CLM', 'ECU', 'FRG', 'PER', 'VEN')",
8495,Hindsia arianeae,Hindsia arianeae Di Maio,"('BZL',)",
8496,Hindsia cucullata,Hindsia cucullata Di Maio,"('BZL',)",
8497,Hindsia glabra,Hindsia glabra K.Schum.,"('BZL',)",
8498,Hindsia ibitipocensis,Hindsia ibitipocensis Di Maio,"('BZL',)",
8499,Hindsia irwinii,Hindsia irwinii Steyerm.,"('BZL',)",
8500,Hindsia longiflora,Hindsia longiflora (Cham.) Benth. ex Lindl.,"('BZE', 'BZL', 'BZS')",
8501,Hindsia phyllocalyx,Hindsia phyllocalyx K.Schum.,"('BZL',)",
8502,Hindsia ramosissima,Hindsia ramosissima Gardner,"('BZL', 'BZS')",
8503,Hindsia republicana,Hindsia republicana Di Maio,"('BZL',)",
8504,Hindsia sessilifolia,Hindsia sessilifolia Di Maio,"('BZE',)",
8505,Hindsia violacea,Hindsia violacea Benth. ex Lindl.,"('BZL',)",
8506,Hintonia latiflora,Hintonia latiflora (Sessé & Moc. ex DC.) Bullock,"('ELS', 'GUA', 'MXC', 'MXE', 'MXN', 'MXS', 'MXT')",
8507,Hintonia lumana,Hintonia lumana (Baill.) Bullock,"('COS', 'ELS', 'GUA', 'MXG', 'MXT')",
8508,Hintonia octomera,Hintonia octomera (Hemsl.) Bullock,"('GUA', 'MXT')",
8509,Hintonia standleyana,Hintonia standleyana Bullock,"('GUA', 'MXG', 'MXS')",
8510,Hippotis albiflora,Hippotis albiflora H.Karst.,"('CLM', 'ECU', 'VEN')",
8511,Hippotis antioquiana,Hippotis antioquiana C.M.Taylor,"('CLM',)",
8512,Hippotis brevipes,Hippotis brevipes Spruce ex K.Schum.,"('CLM', 'ECU', 'PER')",
8513,Hippotis brevistipula,Hippotis brevistipula Calderón Cruz,"('ECU',)",
8514,Hippotis comosa,Hippotis comosa L.Andersson & Rova,"('ECU',)",
8515,Hippotis ecuatoriana,Hippotis ecuatoriana C.M.Taylor,"('ECU',)",
8516,Hippotis elegantula,Hippotis elegantula C.M.Taylor & Calderón Cruz,"('ECU',)",
8517,Hippotis grandiflora,Hippotis grandiflora Steyerm.,"('CLM',)",
8518,Hippotis hirsutissima,Hippotis hirsutissima Calderón Cruz & C.M.Taylor,"('PER',)",
8519,Hippotis lasseri,Hippotis lasseri Steyerm.,"('VEN',)",
8520,Hippotis mollis,Hippotis mollis Standl.,"('CLM', 'ECU', 'PER')",
8521,Hippotis panamensis,Hippotis panamensis (Dwyer) C.M.Taylor,"('CLM', 'COS', 'NIC', 'PAN')",
8522,Hippotis peruviana,Hippotis peruviana H.Karst.,"('CLM',)",
8523,Hippotis stellata,Hippotis stellata C.M.Taylor & Rova,"('CLM', 'ECU', 'PAN')",
8524,Hippotis subelongata,Hippotis subelongata Steyerm.,"('PER',)",
8525,Hippotis triflora,Hippotis triflora Ruiz & Pav.,"('ECU', 'PER')",
8526,Hippotis tubiflora,Hippotis tubiflora Spruce ex K.Schum.,"('ECU', 'PER')",
8527,Hippotis vasqueziana,Hippotis vasqueziana C.M.Taylor,"('PER',)",
8528,Hockinia montana,Hockinia montana Gardner,"('BZL',)",
8529,Hodgkinsonia ovatiflora,Hodgkinsonia ovatiflora F.Muell.,"('NSW', 'QLD')",
8530,Hoffmannia aggregata,Hoffmannia aggregata (Ruiz & Pav.) K.Schum.,"('BOL', 'BZL', 'PER')",
8531,Hoffmannia altipetens,Hoffmannia altipetens Dwyer ex Torr.-Montúfar & H.Ochot.,"('MXG',)",
8532,Hoffmannia amplexifolia,Hoffmannia amplexifolia Standl.,"('COS', 'PAN')",
8533,Hoffmannia apodantha,Hoffmannia apodantha Standl.,"('VEN',)",
8534,Hoffmannia arborescens,Hoffmannia arborescens Donn.Sm.,"('COS', 'PAN')",
8535,Hoffmannia areolata,Hoffmannia areolata Standl.,"('COS', 'PAN')",
8536,Hoffmannia aroensis,Hoffmannia aroensis Steyerm.,"('VEN',)",
8537,Hoffmannia arqueonervosa,Hoffmannia arqueonervosa Cast.-Campos,"('MXG',)",
8538,Hoffmannia asclepiadea,Hoffmannia asclepiadea Standl.,"('COS', 'PAN')",
8539,Hoffmannia asperula,Hoffmannia asperula Standl.,"('CLM',)",
8540,Hoffmannia australis,Hoffmannia australis Lillo,"('AGW', 'BOL')",
8541,Hoffmannia barbillana,Hoffmannia barbillana C.M.Taylor,"('COS',)",
8542,Hoffmannia bernardii,Hoffmannia bernardii Steyerm.,"('CLM', 'VEN')",
8543,Hoffmannia boliviana,Hoffmannia boliviana C.M.Taylor,"('BOL', 'PER')",
8544,Hoffmannia bullata,Hoffmannia bullata L.O.Williams,"('COS', 'GUA', 'HON', 'MXT', 'NIC', 'PAN')",
8545,Hoffmannia caripensis,Hoffmannia caripensis (Bonpl.) Steyerm.,"('VEN',)",
8546,Hoffmannia cauliflora,Hoffmannia cauliflora Hemsl.,"('GUA', 'HON', 'MXS', 'MXT')",
8547,Hoffmannia cercidifolia,Hoffmannia cercidifolia Dwyer,"('PAN',)",
8548,Hoffmannia congesta,Hoffmannia congesta (Oerst.) Dwyer,"('COS', 'PAN')",
8549,Hoffmannia conzattii,Hoffmannia conzattii B.L.Rob.,"('GUA', 'HON', 'MXC', 'MXG', 'MXS', 'MXT')",
8550,Hoffmannia coriacea,Hoffmannia coriacea C.M.Taylor,"('PER',)",
8551,Hoffmannia coronata,Hoffmannia coronata Standl.,"('CLM',)",
8552,Hoffmannia costaricensis,Hoffmannia costaricensis C.M.Taylor,"('COS',)",
8553,Hoffmannia cryptoneura,Hoffmannia cryptoneura Standl.,"('GUA', 'HON', 'MXS', 'MXT', 'NIC')",
8554,Hoffmannia cuneatissima,Hoffmannia cuneatissima B.L.Rob.,"('MXC', 'MXN', 'MXS')",
8555,Hoffmannia davidsoniae,Hoffmannia davidsoniae Standl.,"('CLM', 'COS', 'PAN')",
8556,Hoffmannia dichroantha,Hoffmannia dichroantha Standl.,"('CLM',)",
8557,Hoffmannia discolor,Hoffmannia discolor (Lem.) Hemsl.,"('BLZ', 'GUA', 'HON', 'MXS', 'MXT')",
8558,Hoffmannia dotae,Hoffmannia dotae Standl.,"('COS', 'GUA', 'PAN')",
8559,Hoffmannia duckei,Hoffmannia duckei Standl.,"('BZN',)",
8560,Hoffmannia dwyeri,Hoffmannia dwyeri W.C.Burger,"('PAN',)",
8561,Hoffmannia ecuatoriana,Hoffmannia ecuatoriana Standl.,"('ECU',)",
8562,Hoffmannia excelsa,Hoffmannia excelsa (Kunth) K.Schum.,"('ELS', 'GUA', 'HON', 'MXE', 'MXG', 'MXS', 'MXT')",
8563,Hoffmannia formicaria,Hoffmannia formicaria C.M.Taylor,"('COS', 'PAN')",
8564,Hoffmannia fortunensis,Hoffmannia fortunensis Dwyer ex W.C.Burger,"('PAN',)",
8565,Hoffmannia gentryi,Hoffmannia gentryi Dwyer,"('CLM', 'PAN')",
8566,Hoffmannia gesnerioides,Hoffmannia gesnerioides (Oerst.) Kuntze,"('GUA', 'HON', 'MXG', 'MXS', 'MXT', 'NIC')",
8567,Hoffmannia ghiesbreghtii,Hoffmannia ghiesbreghtii (Lem.) Hemsl.,"('BLZ', 'GUA', 'MXG', 'MXS', 'MXT')",
8568,Hoffmannia glabra,Hoffmannia glabra Standl.,"('CLM',)",
8569,Hoffmannia guerrerensis,Hoffmannia guerrerensis Borhidi & J.Rojas,"('MXS',)",
8570,Hoffmannia hammelii,Hoffmannia hammelii C.M.Taylor,"('COS',)",
8571,Hoffmannia hidalgensis,Hoffmannia hidalgensis Borhidi,"('MXE',)",
8572,Hoffmannia hondurensis,Hoffmannia hondurensis Standl.,"('COS', 'GUA', 'HON', 'PAN')",
8573,Hoffmannia huehueteca,Hoffmannia huehueteca Standl. & Steyerm.,"('GUA', 'MXS', 'MXT')",
8574,Hoffmannia inamoena,Hoffmannia inamoena Standl.,"('COS', 'PAN')",
8575,Hoffmannia ixtlanensis,Hoffmannia ixtlanensis Lorence,"('MXS',)",
8576,Hoffmannia josefina,Hoffmannia josefina Standl.,"('COS',)",
8577,Hoffmannia killipii,Hoffmannia killipii Standl.,"('CLM',)",
8578,Hoffmannia kirkbridei,Hoffmannia kirkbridei Dwyer,"('PAN',)",
8579,Hoffmannia larensis,Hoffmannia larensis Steyerm.,"('VEN',)",
8580,Hoffmannia latifolia,Hoffmannia latifolia (Bartl. ex DC.) Kuntze,"('BOL', 'CLM', 'ECU', 'PER')",
8581,Hoffmannia laxa,Hoffmannia laxa Standl.,"('COS', 'GUA', 'NIC', 'PAN')",
8582,Hoffmannia liesneriana,Hoffmannia liesneriana L.O.Williams,"('COS', 'NIC', 'PAN')",
8583,Hoffmannia limonensis,Hoffmannia limonensis C.M.Taylor,"('COS', 'PAN')",
8584,Hoffmannia lindenii,Hoffmannia lindenii (Kuntze) A.P.Davis,"('MXT',)",
8585,Hoffmannia longepetiolata,Hoffmannia longepetiolata Pol.,"('CLM', 'COS', 'ECU', 'PAN', 'PER')",
8586,Hoffmannia macrosiphon,Hoffmannia macrosiphon Standl.,"('GUA', 'MXT')",
8587,Hoffmannia manussatani,Hoffmannia manussatani Dwyer,"('PAN',)",
8588,Hoffmannia mathewsii,Hoffmannia mathewsii Standl.,"('PER',)",
8589,Hoffmannia micrantha,Hoffmannia micrantha C.M.Taylor,"('COS',)",
8590,Hoffmannia minuticarpa,Hoffmannia minuticarpa Lorence,"('MXG', 'MXS')",
8591,Hoffmannia modesta,Hoffmannia modesta Diels,"('ECU',)",
8592,Hoffmannia morii,Hoffmannia morii Dwyer,"('PAN',)",
8593,Hoffmannia nesiota,Hoffmannia nesiota Donn.Sm.,"('CPI',)",
8594,Hoffmannia nicotianifolia,Hoffmannia nicotianifolia (M.Martens & Galeotti) L.O.Williams,"('BLZ', 'CLM', 'COS', 'ELS', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN')",
8595,Hoffmannia oaxacensis,Hoffmannia oaxacensis Lorence & Dwyer ex Borhidi,"('MXS',)",
8596,Hoffmannia obovata,Hoffmannia obovata (Ruiz & Pav.) Standl.,"('BOL', 'CLM', 'PER')",
8597,Hoffmannia orizabensis,Hoffmannia orizabensis Standl.,"('MXG',)",
8598,Hoffmannia pacifica,Hoffmannia pacifica C.M.Taylor,"('COS',)",
8599,Hoffmannia pallida,Hoffmannia pallida Rusby,"('BOL', 'PER')",
8600,Hoffmannia parvifolia,Hoffmannia parvifolia Steyerm.,"('CLM', 'ECU', 'PER')",
8601,Hoffmannia pauciflora,Hoffmannia pauciflora Standl.,"('CLM', 'PER', 'VEN')",
8602,Hoffmannia pearcei,Hoffmannia pearcei Rusby,"('BOL', 'PER')",
8603,Hoffmannia peckii,Hoffmannia peckii K.Schum.,"('BZE', 'BZL', 'BZS', 'PER')",
8604,Hoffmannia pedunculata,Hoffmannia pedunculata Sw.,"('JAM',)",
8605,Hoffmannia phoenicopoda,Hoffmannia phoenicopoda K.Schum.,"('GUA', 'MXS', 'MXT')",
8606,Hoffmannia piratarum,Hoffmannia piratarum Standl.,"('CPI',)",
8607,Hoffmannia pittieri,Hoffmannia pittieri Standl.,"('CLM', 'COS', 'PAN')",
8608,Hoffmannia pseudovesiculifera,Hoffmannia pseudovesiculifera C.M.Taylor,"('PAN',)",
8609,Hoffmannia psychotriifolia,Hoffmannia psychotriifolia (Benth.) Griseb.,"('COS', 'ELS', 'GUA', 'HON', 'MXG', 'MXS', 'MXT', 'PAN')",
8610,Hoffmannia pustulata,Hoffmannia pustulata Dwyer,"('COS', 'PAN')",
8611,Hoffmannia racemifera,Hoffmannia racemifera Standl. & Steyerm.,"('GUA', 'MXG', 'MXS')",
8612,Hoffmannia regalis,Hoffmannia regalis (Linden ex J.Dix) Hemsl.,"('BLZ', 'ELS', 'GUA', 'HON', 'MXS', 'MXT')",
8613,Hoffmannia rhizantha,Hoffmannia rhizantha Standl.,"('BLZ', 'GUA', 'MXG')",
8614,Hoffmannia rivalis,Hoffmannia rivalis C.M.Taylor,"('ECU', 'PER')",
8615,Hoffmannia robusta,Hoffmannia robusta J.Wagner,,
8616,Hoffmannia rotata,Hoffmannia rotata Donn.Sm.,"('GUA', 'HON', 'MXT')",
8617,Hoffmannia rzedowskiana,"Hoffmannia rzedowskiana Cast.-Campos, Baut.-Bello & Lorence","('MXE', 'MXG', 'MXT')",
8618,Hoffmannia sessilifolia,Hoffmannia sessilifolia L.O.Williams,"('GUA',)",
8619,Hoffmannia sessilis,Hoffmannia sessilis Standl. ex Steyerm.,"('CLM',)",
8620,Hoffmannia silviarum,Hoffmannia silviarum Borhidi,"('MXS',)",
8621,Hoffmannia sprucei,Hoffmannia sprucei Standl.,"('CLM', 'ECU')",
8622,Hoffmannia stenocarpa,Hoffmannia stenocarpa Steyerm.,"('VEN',)",
8623,Hoffmannia stephaniae,Hoffmannia stephaniae L.A.González & Poveda,"('COS',)",
8624,Hoffmannia steyermarkii,Hoffmannia steyermarkii Standl.,"('GUA', 'MXT', 'NIC')",
8625,Hoffmannia strigillosa,Hoffmannia strigillosa Hemsl.,"('MXT',)",
8626,Hoffmannia subauriculata,Hoffmannia subauriculata Standl.,"('CLM', 'COS', 'ECU', 'PAN', 'PER')",
8627,Hoffmannia subcapitata,Hoffmannia subcapitata C.M.Taylor,"('COS',)",
8628,Hoffmannia terepaimensis,Hoffmannia terepaimensis Steyerm.,"('VEN',)",
8629,Hoffmannia tetrastigma,Hoffmannia tetrastigma Donn.Sm.,"('ELS', 'GUA')",
8630,Hoffmannia tilaranensis,Hoffmannia tilaranensis C.M.Taylor,"('COS',)",
8631,Hoffmannia triosteoides,Hoffmannia triosteoides Standl.,"('CLM', 'VEN')",
8632,Hoffmannia tubiflora,Hoffmannia tubiflora Griseb.,"('LEE', 'WIN')",
8633,Hoffmannia tuerckheimii,Hoffmannia tuerckheimii Donn.Sm.,"('GUA',)",
8634,Hoffmannia turrialbana,Hoffmannia turrialbana C.M.Taylor,"('COS',)",
8635,Hoffmannia valerii,Hoffmannia valerii Standl.,"('COS', 'PAN')",
8636,Hoffmannia veraguensis,Hoffmannia veraguensis C.M.Taylor,"('PAN',)",
8637,Hoffmannia verticillata,Hoffmannia verticillata (Ruiz & Pav.) Standl.,"('PER',)",
8638,Hoffmannia vesciculifera,Hoffmannia vesciculifera Standl.,"('CLM', 'PAN')",
8639,Hoffmannia villosula,Hoffmannia villosula Standl.,"('PER',)",
8640,Hoffmannia viridis,Hoffmannia viridis Rusby,"('CLM', 'COS', 'ECU', 'NIC', 'PAN', 'PER')",
8641,Hoffmannia williamsii,Hoffmannia williamsii Standl.,"('ECU', 'PER')",
8642,Hoffmannia wilsonii,Hoffmannia wilsonii Standl.,"('BLZ', 'ELS', 'GUA', 'MXT')",
8643,Holarrhena congolensis,Holarrhena congolensis Stapf,"('ZAI',)",
8644,Holarrhena curtisii,Holarrhena curtisii King & Gamble,"('CBD', 'LAO', 'MLY', 'THA', 'VIE')",
8645,Holarrhena floribunda,Holarrhena floribunda (G.Don) T.Durand & Schinz,"('BEN', 'BKN', 'CAB', 'CAF', 'CHA', 'CMN', 'CON', 'GAB', 'GAM', 'GHA', 'GNB', 'GUI', 'IVO', 'LBR', 'MLI', 'NGA', 'SEN', 'SIE', 'SUD', 'TOG', 'ZAI')",
8646,Holarrhena mitis,Holarrhena mitis (Vahl) R.Br. ex Roem. & Schult.,"('SRL',)",
8647,Holarrhena pubescens,Holarrhena pubescens Wall. ex G.Don,"('ASS', 'BAN', 'CBD', 'CHC', 'EHM', 'IND', 'KEN', 'LAO', 'MLW', 'MOZ', 'MYA', 'NEP', 'PAK', 'TAN', 'THA', 'TVL', 'VIE', 'WHM', 'ZAI', 'ZAM', 'ZIM')","('CHH', 'CHS', 'MAU', 'TAI')"
8648,Holstianthus barbigularis,Holstianthus barbigularis Steyerm.,"('VEN',)",
8649,Homollea furtiva,Homollea furtiva De Block,"('MDG',)",
8650,Homollea leandrii,Homollea leandrii Arènes,"('MDG',)",
8651,Homollea longiflora,Homollea longiflora Arènes,"('MDG',)",
8652,Homollea perrieri,Homollea perrieri Arènes,"('MDG',)",
8653,Homollea septentrionalis,Homollea septentrionalis De Block,"('MDG',)",
8654,Hoodia alstonii,Hoodia alstonii (N.E.Br.) Plowes,"('CPP', 'NAM')",
8655,Hoodia currorii,Hoodia currorii (Hook.) Decne.,"('ANG', 'BOT', 'NAM', 'TVL', 'ZIM')",
8656,Hoodia dregei,Hoodia dregei N.E.Br.,"('CPP',)",
8657,Hoodia flava,Hoodia flava (N.E.Br.) Plowes,"('CPP', 'NAM')",
8658,Hoodia gordonii,Hoodia gordonii (Masson) Sweet ex Decne.,"('CPP', 'NAM', 'OFS')",
8659,Hoodia juttae,Hoodia juttae Dinter,"('NAM',)",
8660,Hoodia mossamedensis,Hoodia mossamedensis (L.C.Leach) Plowes,"('ANG',)",
8661,Hoodia officinalis,Hoodia officinalis (N.E.Br.) Plowes,"('CPP', 'NAM', 'OFS')",
8662,Hoodia parviflora,Hoodia parviflora N.E.Br.,"('ANG', 'NAM')",
8663,Hoodia pedicellata,Hoodia pedicellata (Schinz) Plowes,"('ANG', 'NAM')",
8664,Hoodia pilifera,Hoodia pilifera (L.f.) Plowes,"('CPP',)",
8665,Hoodia ruschii,Hoodia ruschii Dinter,"('NAM',)",
8666,Hoodia triebneri,Hoodia triebneri (Nel) Bruyns,"('NAM',)",
8667,Hoppea dichotoma,Hoppea dichotoma Willd.,"('ASS', 'BAN', 'IND', 'NEP')","('ETH', 'PHI', 'SEN')"
8668,Hoppea fastigiata,Hoppea fastigiata (Griseb.) C.B.Clarke,"('IND', 'SRL')",
8669,Houstonia acerosa,Houstonia acerosa (A.Gray) Benth. & Hook.f.,"('MXE', 'NWM', 'TEX')",
8670,Houstonia caerulea,Houstonia caerulea L.,"('ALA', 'ARK', 'CNT', 'IOW', 'KTY', 'LOU', 'MRY', 'MSI', 'MSO', 'NBR', 'NFL', 'NSC', 'NWH', 'NWY', 'QUE', 'TEN', 'VER', 'VRG', 'WIS')",
8671,Houstonia canadensis,Houstonia canadensis Willd.,"('GEO', 'ILL', 'INI', 'KTY', 'MIC', 'MSI', 'NWY', 'OHI', 'ONT', 'PEN', 'TEN', 'VRG', 'WVA')",
8672,Houstonia correllii,Houstonia correllii (W.H.Lewis) Terrell,"('TEX',)",
8673,Houstonia croftiae,Houstonia croftiae Britton & Rusby,"('TEX',)",
8674,Houstonia humifusa,Houstonia humifusa (Engelm. ex A.Gray) A.Gray,"('MXE', 'NWM', 'OKL', 'TEX')",
8675,Houstonia longifolia,Houstonia longifolia Gaertn.,"('ABT', 'ALA', 'ARK', 'FLA', 'GEO', 'ILL', 'INI', 'KTY', 'MAN', 'MIN', 'MRY', 'MSI', 'MSO', 'NCA', 'NWY', 'OHI', 'OKL', 'ONT', 'PEN', 'SAS', 'SCA', 'TEN', 'TEX', 'VER', 'VRG', 'WIS', 'WVA')",
8676,Houstonia macvaughii,Houstonia macvaughii (Terrell) Govaerts ex Borhidi,"('MXS',)",
8677,Houstonia micrantha,Houstonia micrantha (Shinners) Terrell,"('ALA', 'ARK', 'FLA', 'GEO', 'LOU', 'MSI', 'MSO', 'OKL', 'TEN', 'TEX')","('MRY',)"
8678,Houstonia ouachitana,Houstonia ouachitana (E.B.Sm.) Terrell,"('ARK', 'OKL')",
8679,Houstonia palmeri,Houstonia palmeri A.Gray,"('MXE',)",
8680,Houstonia parviflora,Houstonia parviflora Holz. ex Greenm.,"('TEX',)",
8681,Houstonia procumbens,Houstonia procumbens (Walter ex J.F.Gmel.) Standl.,"('ALA', 'FLA', 'GEO', 'LOU', 'MSI', 'SCA')",
8682,Houstonia prostrata,Houstonia prostrata Brandegee,"('ARI', 'MXN')",
8683,Houstonia purpurea,Houstonia purpurea L.,"('ALA', 'ARK', 'DEL', 'GEO', 'ILL', 'INI', 'KTY', 'LOU', 'MRY', 'MSI', 'MSO', 'NCA', 'OHI', 'OKL', 'PEN', 'SCA', 'TEN', 'TEX', 'VER', 'VRG', 'WVA')","('NWY',)"
8684,Houstonia pusilla,Houstonia pusilla Schoepf,"('ALA', 'ARK', 'FLA', 'ILL', 'IOW', 'KAN', 'KTY', 'LOU', 'MSO', 'OKL', 'TEN', 'TEX', 'VRG')","('CUB', 'MRY', 'NWY')"
8685,Houstonia rosea,Houstonia rosea (Raf.) Terrell,"('ALA', 'ARK', 'LOU', 'MSI', 'MSO', 'OKL', 'TEX')",
8686,Houstonia rubra,Houstonia rubra Cav.,"('ARI', 'MXC', 'MXE', 'MXG', 'MXN', 'NWM', 'TEX', 'UTA')",
8687,Houstonia serpyllifolia,Houstonia serpyllifolia Michx.,"('GEO', 'KTY', 'MRY', 'NCA', 'PEN', 'SCA', 'TEN', 'VRG', 'WVA')",
8688,Houstonia sharpii,Houstonia sharpii Terrell,"('MXC', 'MXE', 'MXG')",
8689,Houstonia spellenbergii,Houstonia spellenbergii (G.L.Nesom & Vorobik) Terrell,"('MXE',)",
8690,Houstonia subviscosa,Houstonia subviscosa (C.Wright ex A.Gray) A.Gray,"('TEX',)",
8691,Houstonia teretifolia,Houstonia teretifolia Terrell,"('MXE',)",
8692,Houstonia wrightii,Houstonia wrightii A.Gray,"('ARI', 'MXC', 'MXE', 'MXG', 'NWM', 'TEX')",
8693,Hoya acanthominima,"Hoya acanthominima Kloppenb., G.Mend. & Ferreras","('PHI',)",
8694,Hoya acicularis,Hoya acicularis T.Green & Kloppenb.,"('BOR',)",
8695,Hoya acuminata,Hoya acuminata (Wight) Benth. ex Hook.f.,"('ASS', 'BAN', 'EHM', 'MYA')",
8696,Hoya aeschynanthoides,Hoya aeschynanthoides Schltr.,"('BOR',)",
8697,Hoya affinis,Hoya affinis Hemsl.,"('SOL',)",
8698,Hoya agusanensis,Hoya agusanensis Kloppenb.,"('PHI',)",
8699,Hoya alagensis,Hoya alagensis Kloppenb.,"('PHI',)",
8700,Hoya albida,"Hoya albida Kloppenb., Cajano & Carandang","('PHI',)",
8701,Hoya albiflora,Hoya albiflora (Blume) Zipp. ex K.Schum.,"('NWG',)",
8702,Hoya aldrichii,Hoya aldrichii Hemsl.,"('XMS',)",
8703,Hoya alexicaca,Hoya alexicaca (Jacq.) Moon,"('BAN', 'IND', 'MYA')",
8704,Hoya alwitriana,"Hoya alwitriana Kloppenb., Siar, Guevarra & Carandang","('PHI',)",
8705,Hoya amboinensis,Hoya amboinensis Warb.,"('MOL',)",
8706,Hoya ambrosiae,Hoya ambrosiae Kloppenb.,"('PHI',)",
8707,Hoya amicabilis,Hoya amicabilis S.Rahayu & Rodda,"('JAW',)",
8708,Hoya amorosoae,Hoya amorosoae T.Green & Kloppenb.,"('PHI',)",
8709,Hoya amrita,"Hoya amrita Kloppenb., Siar & Ferreras","('PHI',)",
8710,Hoya andalensis,Hoya andalensis Kloppenb.,"('SUM',)",
8711,Hoya annaleesoligamiae,Hoya annaleesoligamiae Kloppenb.,"('PHI',)",
8712,Hoya anncajanoae,Hoya anncajanoae Kloppenb. & Siar,"('PHI',)",
8713,Hoya antilaoensis,Hoya antilaoensis Kloppenb.,"('PHI',)",
8714,Hoya anulata,Hoya anulata Schltr.,"('NWG', 'QLD')",
8715,Hoya aphylla,"Hoya aphylla Aver., K.S.Nguyen & Averyanova","('LAO',)",
8716,Hoya apoda,Hoya apoda S.Moore,"('NWG',)",
8717,Hoya apoensis,Hoya apoensis Kloppenb. & Siar,"('PHI',)",
8718,Hoya archboldiana,Hoya archboldiana C.Norman,"('NWG',)",
8719,Hoya ariffinii,Hoya ariffinii Rodda & S.Rahayu,"('BOR',)",
8720,Hoya arnottiana,Hoya arnottiana Wight,"('ASS', 'BAN', 'EHM', 'LAO', 'NEP', 'THA', 'VIE')",
8721,Hoya artwhistleri,Hoya artwhistleri Kloppenb.,"('SAM',)",
8722,Hoya aurantiaca,"Hoya aurantiaca Kloppenb., Siar & Cajano","('PHI',)",
8723,Hoya aurigueana,"Hoya aurigueana Kloppenb., Siar & Cajano","('PHI',)",
8724,Hoya australis,Hoya australis R.Br. ex J.Traill,"('BOR', 'FIJ', 'NSW', 'NTA', 'NWG', 'QLD', 'SAM', 'SOL', 'SUL', 'TON', 'VAN', 'WAL', 'WAU')","('CUB', 'LEE', 'PUE', 'SCI')"
8725,Hoya bacunganensis,Hoya bacunganensis Kloppenb.,"('PHI',)",
8726,Hoya baguioensis,Hoya baguioensis Kloppenb.,"('PHI',)",
8727,Hoya baishaensis,Hoya baishaensis S.Y.He & P.T.Li,"('CHH', 'CHS')",
8728,Hoya bakoensis,Hoya bakoensis Rodda,"('BOR',)",
8729,Hoya balaensis,Hoya balaensis Kidyoo & Thaithong,"('THA',)",
8730,Hoya bandaensis,Hoya bandaensis Schltr.,"('MOL',)",
8731,Hoya bandongii,Hoya bandongii Kloppenb. & Ferreras,"('PHI',)",
8732,Hoya barbonii,Hoya barbonii Kloppenb.,"('PHI',)",
8733,Hoya batutikarensis,"Hoya batutikarensis R.P.P.Ahmad, S.Rahayu & Rodda","('SUL',)",
8734,Hoya bauensis,Hoya bauensis T.Green,"('BOR',)",
8735,Hoya bebsguevarrae,Hoya bebsguevarrae Kloppenb. & Carandang,"('PHI',)",
