,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,native_tdwg3_codes,intro_tdwg3_codes
535,924962-1,Lavrania,Lavrania Plowes,Apocynaceae,Genus,,,,,507701,924962-1,Genus,Accepted,Apocynaceae,,Lavrania,,,,,,Plowes,,Cact. Succ. J. (Los Angeles), 58: 122,(1986),,Namibia,,,Lavrania,Plowes,507701,,,,,924962-1,,Y,,,,"('NAM',)",
536,294718-2,Laxoplumeria,Laxoplumeria Markgr.,Apocynaceae,Genus,,,,,109123,294718-2,Genus,Accepted,Apocynaceae,,Laxoplumeria,,,,,,Markgr.,,Notizbl. Bot. Gart. Berlin-Dahlem, 9: 981,(1926),,Panama to S. Trop. America,,,Laxoplumeria,Markgr.,109123,,,,,294718-2,,Y,,,,"('BOL', 'BZC', 'BZL', 'BZN', 'CLM', 'ECU', 'FRG', 'PAN', 'PER')",
537,34818-1,Lecananthus,Lecananthus Jack,Rubiaceae,Genus,,,,,109141,34818-1,Genus,Accepted,Rubiaceae,,Lecananthus,,,,,,Jack,,Malayan Misc., 2(7): 83,(1822),,W. Malesia,,,Lecananthus,Jack,109141,,,,,34818-1,,Y,,,,"('BOR', 'MLY', 'SUM')",
538,34820-1,Lecariocalyx,Lecariocalyx Bremek.,Rubiaceae,Genus,,,,,109185,34820-1,Genus,Accepted,Rubiaceae,,Lecariocalyx,,,,,,Bremek.,,Bull. Misc. Inform. Kew, 1940: 192,(1940),,Borneo,,,Lecariocalyx,Bremek.,109185,,,,,34820-1,,Y,,,,"('BOR',)",
539,297449-2,Lehmanniella,Lehmanniella Gilg,Gentianaceae,Genus,,,,,2350324,297449-2,Genus,Accepted,Gentianaceae,,Lehmanniella,,,,,,Gilg,H.G.A.Engler & K.A.E.Prantl,Nat. Pflanzenfam., 4(2): 101,(1895),,Colombia to Peru,,,Lehmanniella,Gilg,2350324,,,,,297449-2,,N,,,,"('CLM', 'PER')",
540,3465-1,Leichhardtia,Leichhardtia R.Br.,Apocynaceae,Genus,,,,,507729,3465-1,Genus,Accepted,Apocynaceae,,Leichhardtia,,,,,,R.Br.,C.Sturt,Narr. Exped. C. Australia, 2(App.): 81,(1849),,"Papuasia to Australia, New Caledonia",,,Leichhardtia,R.Br.,507729,,,,,3465-1,,Y,,,,"('BIS', 'NFK', 'NSW', 'NTA', 'NWC', 'NWG', 'QLD', 'SOA', 'SOL', 'VIC', 'WAU')",
541,77126884-1,Lelya,Lelya Bremek.,Rubiaceae,Genus,,,,,109249,77126884-1,Genus,Accepted,Rubiaceae,,Lelya,,,,,,Bremek.,,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2",", 48(2): 181",(1952),,Trop. Africa,,,Lelya,Bremek.,109249,,,,,77126884-1,,Y,,,,"('ANG', 'MLW', 'NGA', 'TAN', 'ZAI', 'ZAM')",
542,1156627-2,Lemyrea,Lemyrea (A.Chev.) A.Chev. & Beille,Rubiaceae,Genus,,,,,109363,1156627-2,Genus,Accepted,Rubiaceae,,Lemyrea,,,,,A.Chev.,A.Chev. & Beille,,Rev. Bot. Appl. Agric. Trop., 19: 250,(1939),,Madagascar,,,Lemyrea,(A.Chev.) A.Chev. & Beille,109363,,,,,1156627-2,,Y,,,,"('MDG',)",
543,34825-1,Lepidostoma,Lepidostoma Bremek.,Rubiaceae,Genus,,,,,110862,34825-1,Genus,Accepted,Rubiaceae,,Lepidostoma,,,,,,Bremek.,,Recueil Trav. Bot. Néerl., 37: 190,(1940),,Sumatera,,,Lepidostoma,Bremek.,110862,,,,,34825-1,,Y,,,,"('SUM',)",
544,2406-1,Lepinia,Lepinia Decne.,Apocynaceae,Genus,,,,,110868,2406-1,Genus,Accepted,Apocynaceae,,Lepinia,,,,,,Decne.,,"Ann. Sci. Nat., Bot.",", sér. 3, 12: 194",(1849),,New Guinea to Pacific,,,Lepinia,Decne.,110868,,,,,2406-1,,Y,,,,"('CRL', 'MRQ', 'NWG', 'SCI', 'SOL')",
545,2407-1,Lepiniopsis,Lepiniopsis Valeton,Apocynaceae,Genus,,,,,110873,2407-1,Genus,Accepted,Apocynaceae,,Lepiniopsis,,,,,,Valeton,,Ann. Jard. Bot. Buitenzorg, 13(2): 252,(1895),,C. Malesia to NW. Pacific,,,Lepiniopsis,Valeton,110873,,,,,2407-1,,Y,,,,"('BIS', 'CRL', 'MOL', 'NWG', 'PHI', 'SUL')",
546,34827-1,Leptactina,Leptactina Hook.f.,Rubiaceae,Genus,,,,,110881,34827-1,Genus,Accepted,Rubiaceae,,Leptactina,,,,,,Hook.f.,,Hooker's Icon. Pl., 11: t. 1092,(1871),,Trop. & S. Africa,,,Leptactina,Hook.f.,110881,,,,,34827-1,,Y,,,,"('ANG', 'BEN', 'BOT', 'BUR', 'CAB', 'CAF', 'CMN', 'CON', 'EQG', 'GAB', 'GGI', 'GHA', 'GNB', 'GUI', 'IVO', 'KEN', 'LBR', 'MLI', 'MLW', 'MOZ', 'NAT', 'NGA', 'RWA', 'SIE', 'SUD', 'TAN', 'TVL', 'UGA', 'ZAI', 'ZAM', 'ZIM')",
547,3469-1,Leptadenia,Leptadenia R.Br.,Apocynaceae,Genus,,,,,507739,3469-1,Genus,Accepted,Apocynaceae,,Leptadenia,,,,,,R.Br.,,Asclepiadeae,: 23,(1810),,"N. & W. Trop. Africa to Tanzania, Madagascar, Arabian Pen. to Myanmar",,,Leptadenia,R.Br.,507739,,,,,3469-1,,Y,,,,"('ALG', 'BAN', 'BEN', 'BKN', 'CAF', 'CBD', 'CHA', 'CMN', 'COM', 'DJI', 'EGY', 'ERI', 'ETH', 'GAM', 'GHA', 'GNB', 'GST', 'GUI', 'IND', 'IRN', 'IVO', 'KEN', 'LBY', 'LDV', 'MCI', 'MDG', 'MLI', 'MOR', 'MTN', 'MYA', 'NEP', 'NGA', 'NGR', 'OMA', 'PAK', 'PAL', 'SAU', 'SEN', 'SIN', 'SOM', 'SRL', 'SUD', 'TAN', 'UGA', 'YEM')",
548,34830-1,Leptodermis,Leptodermis Wall.,Rubiaceae,Genus,,,,,110941,34830-1,Genus,Accepted,Rubiaceae,,Leptodermis,,,,,,Wall.,W.Roxburgh,Fl. Ind., 2: 191,(1824),,Afghanistan to S. Japan and Indo-China,,,Leptodermis,Wall.,110941,,,,,34830-1,,Y,,,,"('AFG', 'ASS', 'CHC', 'CHI', 'CHN', 'CHS', 'CHT', 'EHM', 'IND', 'JAP', 'MON', 'MYA', 'NEP', 'PAK', 'THA', 'VIE', 'WHM')",
549,34831-1,Leptomischus,Leptomischus Drake,Rubiaceae,Genus,,,,,111017,34831-1,Genus,Accepted,Rubiaceae,,Leptomischus,,,,,,Drake,,Bull. Mus. Hist. Nat. (Paris), 1: 177,(1895),,Assam to S. China and Indo-China,,,Leptomischus,Drake,111017,,,,,34831-1,,Y,,,,"('ASS', 'BAN', 'CHC', 'CHH', 'CHS', 'EHM', 'MYA', 'VIE')",
550,34832-1,Leptopetalum,Leptopetalum Hook. & Arn.,Rubiaceae,Genus,,,,,111030,34832-1,Genus,Accepted,Rubiaceae,,Leptopetalum,,,,,,Hook. & Arn.,,Bot. Beechey Voy.,: 295,(1838),,Trop. & Subtrop. Asia to Pacific,,,Leptopetalum,Hook. & Arn.,111030,,,,,34832-1,,Y,,,,"('BAN', 'CBD', 'CHC', 'CHH', 'CHS', 'COO', 'CRL', 'EHM', 'FIJ', 'GIL', 'IND', 'JAP', 'JAW', 'KOR', 'KZN', 'LDV', 'LSI', 'MDV', 'MLY', 'MOL', 'MRN', 'MRS', 'MYA', 'NCB', 'NEP', 'NNS', 'NUE', 'NWC', 'NWG', 'OGA', 'PHI', 'QLD', 'SAM', 'SCS', 'SOL', 'SRL', 'SUL', 'TAI', 'THA', 'TON', 'TUB', 'VAN', 'VIE', 'WAL')",
551,34834-1,Leptoscela,Leptoscela Hook.f.,Rubiaceae,Genus,,,,,111242,34834-1,Genus,Accepted,Rubiaceae,,Leptoscela,,,,,,Hook.f.,G.Bentham & J.D.Hooker,Gen. Pl., 2: 59,(1873),,NE. Brazil,,,Leptoscela,Hook.f.,111242,,,,,34834-1,,Y,,,,"('BZE',)",
552,34836-1,Leptostigma,Leptostigma Arn.,Rubiaceae,Genus,,,,,111543,34836-1,Genus,Accepted,Rubiaceae,,Leptostigma,,,,,,Arn.,,J. Bot. (Hooker), 3: 270,(1841),,"SE. Australia, New Zealand, Andes",,,Leptostigma,Arn.,111543,,,,,34836-1,,Y,,,,"('AGS', 'BOL', 'CLC', 'CLM', 'CLS', 'ECU', 'NSW', 'NZN', 'NZS', 'PER', 'SOA', 'TAS', 'VIC')",
553,331710-2,Lerchea,Lerchea L.,Rubiaceae,Genus,,,,,111577,331710-2,Genus,Accepted,Rubiaceae,,Lerchea,,,,,,L.,,Mant. Pl., 2: 155,(1771),", nom. cons.",S. China to W. Malesia,,,Lerchea,L.,111577,,,,,331710-2,,Y,,,,"('CHC', 'JAW', 'SUM', 'VIE')",
554,34841-1,Leucocodon,Leucocodon Gardner,Rubiaceae,Genus,,,,,111949,34841-1,Genus,Accepted,Rubiaceae,,Leucocodon,,,,,,Gardner,,Calcutta J. Nat. Hist., 7: 4,(1847),,Sri Lanka,,,Leucocodon,Gardner,111949,,,,,34841-1,,Y,,,,"('SRL',)",
555,34842-1,Leucolophus,Leucolophus Bremek.,Rubiaceae,Genus,,,,,112000,34842-1,Genus,Accepted,Rubiaceae,,Leucolophus,,,,,,Bremek.,,Recueil Trav. Bot. Néerl., 37: 187,(1940),,W. Malesia,,,Leucolophus,Bremek.,112000,,,,,34842-1,,Y,,,,"('MLY', 'SUM')",
556,2410-1,Leuconotis,Leuconotis Jack,Apocynaceae,Genus,,,,,112004,2410-1,Genus,Accepted,Apocynaceae,,Leuconotis,,,,,,Jack,,Trans. Linn. Soc. London, 14: 121,(1823),,Indo-China to W. Malesia,,,Leuconotis,Jack,112004,,,,,2410-1,,Y,,,,"('BOR', 'MLY', 'SUM', 'THA')",
557,77125358-1,Limahlania,Limahlania K.M.Wong & Sugumaran,Gentianaceae,Genus,,,,,2996550,77125358-1,Genus,Accepted,Gentianaceae,,Limahlania,,,,,,K.M.Wong & Sugumaran,,Gard. Bull. Singapore, 64: 491,(2012),,S. Indo-China to W. Malesia,,,Limahlania,K.M.Wong & Sugumaran,2996550,,,,,77125358-1,,N,,,,"('BOR', 'MLY', 'SUM', 'THA', 'VIE')",
558,34844-1,Limnosipanea,Limnosipanea Hook.f.,Rubiaceae,Genus,,,,,112361,34844-1,Genus,Accepted,Rubiaceae,,Limnosipanea,,,,,,Hook.f.,,Hooker's Icon. Pl., 11: t. 1050,(1868),,Panama to S. Trop. America,,,Limnosipanea,Hook.f.,112361,,,,,34844-1,,Y,,,,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'GUY', 'PAN', 'SUR', 'URU', 'VEN')",
559,77210832-1,Lintersemina,"Lintersemina Humberto Mend., Celis & M.A.González",Rubiaceae,Genus,,,,,539437,77210832-1,Genus,Accepted,Rubiaceae,,Lintersemina,,,,,,"Humberto Mend., Celis & M.A.González",,Phytotaxa, 451: 6,(2020),,Colombia,,,Lintersemina,"Humberto Mend., Celis & M.A.González",539437,,,,,77210832-1,,Y,,,,"('CLM',)",
560,329806-2,Lisianthius,Lisianthius P.Browne,Gentianaceae,Genus,,,,,2350303,329806-2,Genus,Accepted,Gentianaceae,,Lisianthius,,,,,,P.Browne,,Civ. Nat. Hist. Jamaica,: 157,(1756),,"Mexico to Colombia, Caribbean",,,Lisianthius,P.Browne,2350303,,,,,329806-2,,N,,,,"('BLZ', 'CLM', 'COS', 'CUB', 'DOM', 'GUA', 'HAI', 'HON', 'JAM', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PUE', 'VEN')",
561,331727-2,Logania,Logania R.Br.,Loganiaceae,Genus,,,,,2353816,331727-2,Genus,Accepted,Loganiaceae,,Logania,,,,,,R.Br.,,Prodr. Fl. Nov. Holland.,: 454,(1810),,"Australia, New Zealand",,,Logania,R.Br.,2353816,,,,,331727-2,,N,,,,"('NSW', 'NZN', 'QLD', 'SOA', 'VIC', 'WAU')",
562,16632-1,Lomatogoniopsis,Lomatogoniopsis T.N.Ho & S.W.Liu,Gentianaceae,Genus,,,,,2350065,16632-1,Genus,Accepted,Gentianaceae,,Lomatogoniopsis,,,,,,T.N.Ho & S.W.Liu,,Acta Phytotax. Sin., 18: 466,(1980),,E. Himalaya to W. & SC. China,,,Lomatogoniopsis,T.N.Ho & S.W.Liu,2350065,,,,,16632-1,,N,,,,"('CHC', 'CHQ', 'CHT', 'EHM')",
563,30028531-2,Lomatogonium,Lomatogonium A.Braun,Gentianaceae,Genus,,,,,2350069,30028531-2,Genus,Accepted,Gentianaceae,,Lomatogonium,,,,,,A.Braun,,Flora, 13: 221,(1830),,Subarctic & Subalpine Northern Hemisphere,,,Lomatogonium,A.Braun,2350069,,,,,30028531-2,,N,,,,"('ABT', 'AFG', 'ALT', 'AMU', 'ASK', 'AUT', 'BRC', 'BRY', 'CHC', 'CHI', 'CHM', 'CHN', 'CHQ', 'CHT', 'CHX', 'COL', 'CTA', 'EHM', 'ETH', 'GER', 'GNL', 'ICE', 'IDA', 'IND', 'IRK', 'ITA', 'JAP', 'KAM', 'KAZ', 'KGZ', 'KHA', 'KRA', 'LAB', 'MAG', 'MAI', 'MAN', 'MDG', 'MLW', 'MNT', 'MON', 'MOZ', 'NBR', 'NEP', 'NFL', 'NUN', 'NWM', 'NWT', 'ONT', 'PAK', 'QUE', 'ROM', 'RUN', 'SAK', 'SAS', 'SWI', 'TAI', 'TAN', 'TCS', 'TUR', 'TVA', 'TZK', 'UTA', 'UZB', 'WHM', 'WSB', 'WYO', 'YAK', 'YUK')",
564,34855-1,Luculia,Luculia Sweet,Rubiaceae,Genus,,,,,115280,34855-1,Genus,Accepted,Rubiaceae,,Luculia,,,,,,Sweet,,Brit. Fl. Gard., 2: t. 145,(1826),,Himalaya to S. China,,,Luculia,Sweet,115280,,,,,34855-1,,Y,,,,"('ASS', 'CHC', 'CHS', 'CHT', 'EHM', 'MYA', 'NEP', 'THA', 'VIE')",
565,331734-2,Lucya,Lucya DC.,Rubiaceae,Genus,,,,,115480,331734-2,Genus,Accepted,Rubiaceae,,Lucya,,,,,,DC.,,Prodr., 4: 434,(1830),", nom. cons.",Caribbean,,,Lucya,DC.,115480,,,,,331734-2,,Y,,,,"('CUB', 'DOM', 'HAI', 'JAM', 'PUE')",
566,327861-2,Ludekia,Ludekia Ridsdale,Rubiaceae,Genus,,,,,115483,327861-2,Genus,Accepted,Rubiaceae,,Ludekia,,,,,,Ridsdale,,Blumea, 24: 334,(1978),,Malesia,,,Ludekia,Ridsdale,115483,,,,,327861-2,,Y,,,,"('BOR', 'PHI')",
567,3479-1,Lygisma,Lygisma Hook.f.,Apocynaceae,Genus,,,,,507803,3479-1,Genus,Accepted,Apocynaceae,,Lygisma,,,,,,Hook.f.,,Hooker's Icon. Pl., 15: t. 1423,(1883),,SE. China to Pen. Malaysia,,,Lygisma,Hook.f.,507803,,,,,3479-1,,Y,,,,"('CHH', 'CHS', 'LAO', 'MLY', 'MYA', 'THA', 'VIE')",
568,295623-2,Macbrideina,Macbrideina Standl.,Rubiaceae,Genus,,,,,116787,295623-2,Genus,Accepted,Rubiaceae,,Macbrideina,,,,,,Standl.,,Trop. Woods, 20: 24,(1929),,W. South America,,wet tropical,Macbrideina,Standl.,116787,,,,,295623-2,,Y,,,,"('BOL', 'CLM', 'ECU', 'PER')",
569,34864-1,Machaonia,Machaonia Bonpl.,Rubiaceae,Genus,,,,,116809,34864-1,Genus,Accepted,Rubiaceae,,Machaonia,,,,,,Bonpl.,F.W.H.A.von Humboldt & A.J.A.Bonpland,Pl. Aequinoct., 1: 101,(1806),,Mexico to Trop. America,,,Machaonia,Bonpl.,116809,,,,,34864-1,,Y,,,,"('AGE', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'ECU', 'ELS', 'GUA', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'NLA', 'PAN', 'PAR', 'PER', 'PUE', 'VEN', 'VNA', 'WIN')",
570,978016-1,Maclaudia,Maclaudia Venter & R.L.Verh.,Apocynaceae,Genus,,,,,507814,978016-1,Genus,Accepted,Apocynaceae,,Maclaudia,,,,,,Venter & R.L.Verh.,,Bot. J. Linn. Soc., 115: 58,(1994),,W. & WC. Trop. Africa,,,Maclaudia,Venter & R.L.Verh.,507814,,,,,978016-1,,Y,,,,"('CMN', 'GUI')",
571,2415-1,Macoubea,Macoubea Aubl.,Apocynaceae,Genus,,,,,116910,2415-1,Genus,Accepted,Apocynaceae,,Macoubea,,,,,,Aubl.,,Hist. Pl. Guiane,", Suppl.: 17",(1775),,C. & S. Trop. America,,,Macoubea,Aubl.,116910,,,,,2415-1,,Y,,,,"('BOL', 'BZE', 'BZN', 'CLM', 'COS', 'FRG', 'GUY', 'PAN', 'PER', 'SUR', 'VEN')",
572,30001681-2,Macrocarpaea,Macrocarpaea (Griseb.) Gilg,Gentianaceae,Genus,,,,,2372048,30001681-2,Genus,Accepted,Gentianaceae,,Macrocarpaea,,,,,Griseb.,Gilg,H.G.A.Engler & K.A.E.Prantl,Nat. Pflanzenfam., 4(2): 94,(1895),,Trop. America,,,Macrocarpaea,(Griseb.) Gilg,2372048,,,,,30001681-2,,N,,,,"('BOL', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'GUY', 'JAM', 'PAN', 'PER', 'VEN')",
573,34867-1,Macrocnemum,Macrocnemum P.Browne,Rubiaceae,Genus,,,,,117008,34867-1,Genus,Accepted,Rubiaceae,,Macrocnemum,,,,,,P.Browne,,Civ. Nat. Hist. Jamaica,: 165,(1756),,Trop. America,,,Macrocnemum,P.Browne,117008,,,,,34867-1,,Y,,,,"('BOL', 'BZN', 'CLM', 'COS', 'ECU', 'JAM', 'PAN', 'PER')",
574,295631-2,Macropharynx,Macropharynx Rusby,Apocynaceae,Genus,,,,,117081,295631-2,Genus,Accepted,Apocynaceae,,Macropharynx,,,,,,Rusby,,Mem. New York Bot. Gard., 7: 327,(1927),,C. & S. Trop. America,,,Macropharynx,Rusby,117081,,,,,295631-2,,Y,,,,"('AGE', 'AGW', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'GUY', 'HON', 'PAN', 'PAR', 'PER', 'SUR', 'VEN')",
575,3485-1,Macroscepis,Macroscepis Kunth,Apocynaceae,Genus,,,,,507840,3485-1,Genus,Accepted,Apocynaceae,,Macroscepis,,,,,,Kunth,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth",Nov. Gen. Sp., 3: 200,(1819),,S. Mexico to Trop. America,,,Macroscepis,Kunth,507840,,,,,3485-1,,Y,,,,"('AGE', 'AGW', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'GUY', 'HON', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'TRT', 'VEN', 'WIN')",
576,34870-1,Macrosphyra,Macrosphyra Hook.f.,Rubiaceae,Genus,,,,,117150,34870-1,Genus,Accepted,Rubiaceae,,Macrosphyra,,,,,,Hook.f.,G.Bentham & J.D.Hooker,Gen. Pl., 2: 86,(1873),,Trop. Africa,,,Macrosphyra,Hook.f.,117150,,,,,34870-1,,Y,,,,"('ANG', 'BEN', 'BKN', 'CAB', 'CAF', 'CHA', 'CMN', 'ETH', 'GAM', 'GHA', 'GNB', 'GUI', 'IVO', 'LBR', 'MLI', 'MTN', 'NGA', 'SEN', 'SIE', 'SUD', 'TOG', 'UGA', 'ZAI')",
577,296784-2,Maguireocharis,Maguireocharis Steyerm.,Rubiaceae,Genus,,,,,117915,296784-2,Genus,Accepted,Rubiaceae,,Maguireocharis,,,,,,Steyerm.,,Mem. New York Bot. Gard., 23: 230,(1972),,S. Venezuela to N. Brazil,,,Maguireocharis,Steyerm.,117915,,,,,296784-2,,Y,,,,"('BZN', 'VEN')",
578,296794-2,Maguireothamnus,Maguireothamnus Steyerm.,Rubiaceae,Genus,,,,,117917,296794-2,Genus,Accepted,Rubiaceae,,Maguireothamnus,,,,,,Steyerm.,,Mem. New York Bot. Gard., 10(5): 220,(1964),,Guyana Highlands,,,Maguireothamnus,Steyerm.,117917,,,,,296794-2,,Y,,,,"('GUY', 'VEN')",
579,3490-1,Mahawoa,Mahawoa Schltr.,Apocynaceae,Genus,,,,,507883,3490-1,Genus,Accepted,Apocynaceae,,Mahawoa,,,,,,Schltr.,,Beih. Bot. Centralbl., 34(2): 2,(1916),,C. Malesia,,,Mahawoa,Schltr.,507883,,,,,3490-1,,Y,,,,"('SUL',)",
580,34873-1,Malanea,Malanea Aubl.,Rubiaceae,Genus,,,,,118018,34873-1,Genus,Accepted,Rubiaceae,,Malanea,,,,,,Aubl.,,Hist. Pl. Guiane, 1: 106,(1775),,C. & S. Trop. America to Trinidad,,,Malanea,Aubl.,118018,,,,,34873-1,,Y,,,,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'NIC', 'PAN', 'PER', 'SUR', 'TRT', 'VEN', 'WIN')",
581,2420-1,Malouetia,Malouetia A.DC.,Apocynaceae,Genus,,,,,119137,2420-1,Genus,Accepted,Apocynaceae,,Malouetia,,,,,,A.DC.,A.P.de Candolle,Prodr., 8: 378,(1844),,"Trop. America, W. & WC. Trop. Africa",,,Malouetia,A.DC.,119137,,,,,2420-1,,Y,,,,"('BLZ', 'BOL', 'BZE', 'BZL', 'BZN', 'BZS', 'CAF', 'CLM', 'CMN', 'CON', 'COS', 'FRG', 'GAB', 'GUA', 'GUI', 'GUY', 'HON', 'LBR', 'NGA', 'NIC', 'PAN', 'PER', 'SIE', 'SUR', 'VEN', 'WIN', 'ZAI')","('CUB',)"
582,328998-2,Mandevilla,Mandevilla Lindl.,Apocynaceae,Genus,,,,,119205,328998-2,Genus,Accepted,Apocynaceae,,Mandevilla,,,,,,Lindl.,,Edwards's Bot. Reg., 26: t. 7,(1840),", nom. cons.",Mexico to Trop. America,,,Mandevilla,Lindl.,119205,,,,,328998-2,,Y,,,,"('AGE', 'AGW', 'ARI', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'JAM', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'NWM', 'PAN', 'PAR', 'PER', 'SUR', 'TEX', 'TRT', 'URU', 'VEN')","('CHS',)"
583,331752-2,Manettia,Manettia Mutis ex L.,Rubiaceae,Genus,,,,,119406,331752-2,Genus,Accepted,Rubiaceae,,Manettia,,,,,,Mutis ex L.,,Mant. Pl., 2: 558,(1771),", nom. cons.",Mexico to Trop. America,,,Manettia,Mutis ex L.,119406,,,,,331752-2,,Y,,,,"('AGE', 'AGW', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'TRT', 'URU', 'VEN', 'WIN')",
584,34878-1,Manostachya,Manostachya Bremek.,Rubiaceae,Genus,,,,,120295,34878-1,Genus,Accepted,Rubiaceae,,Manostachya,,,,,,Bremek.,,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2",", 48(2): 145",(1952),,Tanzania to E. Trop. Africa,,,Manostachya,Bremek.,120295,,,,,34878-1,,Y,,,,"('ANG', 'CAB', 'MLW', 'TAN', 'ZAI', 'ZAM')",
585,2424-1,Manothrix,Manothrix Miers,Apocynaceae,Genus,,,,,120299,2424-1,Genus,Accepted,Apocynaceae,,Manothrix,,,,,,Miers,,Apocyn. S. Amer.,: 28,(1878),,SE. Brazil,,,Manothrix,Miers,120299,,,,,2424-1,,Y,,,,"('BZL',)",
586,34879-1,Mantalania,Mantalania Capuron ex J.-F.Leroy,Rubiaceae,Genus,,,,,120302,34879-1,Genus,Accepted,Rubiaceae,,Mantalania,,,,,,Capuron ex J.-F.Leroy,,"Compt. Rend. Hebd. Séances Acad. Sci., Sér. D", 277: 1659,(1973),,Madagascar,,,Mantalania,Capuron ex J.-F.Leroy,120302,,,,,34879-1,,Y,,,,"('MDG',)",
587,3493-1,Margaretta,Margaretta Oliv.,Apocynaceae,Genus,,,,,507889,3493-1,Genus,Accepted,Apocynaceae,,Margaretta,,,,,,Oliv.,,Trans. Linn. Soc. London, 29: 111,(1875),,Trop. Africa,,,Margaretta,Oliv.,507889,,,,,3493-1,,Y,,,,"('BUR', 'CAF', 'CMN', 'KEN', 'MLW', 'MOZ', 'NGA', 'RWA', 'SUD', 'TAN', 'UGA', 'ZAI', 'ZAM', 'ZIM')",
588,331758-2,Marsdenia,Marsdenia R.Br.,Apocynaceae,Genus,,,,,507912,331758-2,Genus,Accepted,Apocynaceae,,Marsdenia,,,,,,R.Br.,,Prodr. Fl. Nov. Holland.,: 460,(1810),", nom. cons.",Trop. & Subtrop. Asia to New Caledonia,,,Marsdenia,R.Br.,507912,,,,,331758-2,,Y,,,,"('AND', 'ASS', 'BAN', 'BOR', 'CBD', 'CHC', 'CHH', 'CHS', 'CHT', 'COM', 'COS', 'EHM', 'ELS', 'GUA', 'GUY', 'HON', 'IND', 'JAP', 'JAW', 'KEN', 'KOR', 'LAO', 'LSI', 'MDG', 'MLY', 'MOZ', 'MXS', 'MYA', 'NEP', 'NIC', 'NNS', 'NWC', 'NWG', 'PAK', 'PAN', 'PER', 'PHI', 'SRL', 'SUL', 'TAI', 'TAN', 'THA', 'VEN', 'VIE', 'WHM', 'ZIM')",
589,77111063-1,Martensianthus,Martensianthus Borhidi & Lozada-Pérez,Rubiaceae,Genus,,,,,467533,77111063-1,Genus,Accepted,Rubiaceae,,Martensianthus,,,,,,Borhidi & Lozada-Pérez,,Acta Bot. Hung., 53: 25,(2011),,C. & S. Mexico,,,Martensianthus,Borhidi & Lozada-Pérez,467533,463653,Borhidi & Lozada-Pérez,,,77111063-1,,Y,,,,"('MXC', 'MXG', 'MXS', 'MXT')",
590,2425-1,Mascarenhasia,Mascarenhasia A.DC.,Apocynaceae,Genus,,,,,121021,2425-1,Genus,Accepted,Apocynaceae,,Mascarenhasia,,,,,,A.DC.,A.P.de Candolle,Prodr., 8: 487,(1844),,"Kenya to Mozambique, W. Indian Ocean",,,Mascarenhasia,A.DC.,121021,,,,,2425-1,,Y,,,,"('COM', 'KEN', 'MDG', 'MLW', 'MOZ', 'TAN', 'ZAI', 'ZIM')","('SEY',)"
